Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,team,team_id,Playing Time_MP
Mohamed Salah,eg EGY,FW,32.0,38.0,38,3371.0,37.5,29.0,18.0,47.0,20.0,9.0,9.0,1.0,0.0,25.2,18.2,14.2,32.4,155.0,144.0,488.0,0.77,0.48,1.25,0.53,1.01,0.67,0.38,1.05,0.49,0.87,Matches,Liverpool,822bd0ba,
Virgil van Dijk,nl NED,DF,33.0,37.0,37,3330.0,37.0,3.0,1.0,4.0,3.0,0.0,0.0,5.0,0.0,2.2,2.2,0.7,3.0,22.0,198.0,6.0,0.08,0.03,0.11,0.08,0.11,0.06,0.02,0.08,0.06,0.08,Matches,Liverpool,822bd0ba,
Ryan Gravenberch,nl NED,MF,22.0,37.0,37,3160.0,35.1,0.0,4.0,4.0,0.0,0.0,0.0,6.0,1.0,1.1,1.1,3.1,4.2,70.0,181.0,55.0,0.0,0.11,0.11,0.0,0.11,0.03,0.09,0.12,0.03,0.12,Matches,Liverpool,822bd0ba,
Alexis Mac Allister,ar ARG,MF,25.0,35.0,30,2599.0,28.9,5.0,5.0,10.0,5.0,0.0,0.0,6.0,0.0,2.8,2.8,4.7,7.5,36.0,177.0,80.0,0.17,0.17,0.35,0.17,0.35,0.1,0.16,0.26,0.1,0.26,Matches,Liverpool,822bd0ba,
Ibrahima Konaté,fr FRA,DF,25.0,31.0,30,2560.0,28.4,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,1.7,1.7,1.0,2.7,25.0,115.0,3.0,0.04,0.07,0.11,0.04,0.11,0.06,0.03,0.1,0.06,0.1,Matches,Liverpool,822bd0ba,
Dominik Szoboszlai,hu HUN,MF,23.0,36.0,29,2491.0,27.7,6.0,6.0,12.0,6.0,0.0,0.0,6.0,0.0,7.3,7.3,7.4,14.7,72.0,131.0,127.0,0.22,0.22,0.43,0.22,0.43,0.27,0.27,0.53,0.27,0.53,Matches,Liverpool,822bd0ba,
Andrew Robertson,sct SCO,DF,30.0,33.0,29,2482.0,27.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.2,1.2,4.6,5.8,64.0,176.0,108.0,0.0,0.04,0.04,0.0,0.04,0.04,0.17,0.21,0.04,0.21,Matches,Liverpool,822bd0ba,
Alisson,br BRA,GK,31.0,28.0,28,2508.0,27.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,Liverpool,822bd0ba,
Luis Díaz,co COL,FW,27.0,36.0,28,2399.0,26.7,13.0,5.0,18.0,13.0,0.0,0.0,2.0,0.0,12.0,12.0,5.0,17.1,108.0,110.0,293.0,0.49,0.19,0.68,0.49,0.68,0.45,0.19,0.64,0.45,0.64,Matches,Liverpool,822bd0ba,
Trent Alexander-Arnold,eng ENG,DF,25.0,33.0,28,2365.0,26.3,3.0,6.0,9.0,3.0,0.0,0.0,5.0,0.0,1.9,1.9,7.3,9.2,51.0,232.0,94.0,0.11,0.23,0.34,0.11,0.34,0.07,0.28,0.35,0.07,0.35,Matches,Liverpool,822bd0ba,
Cody Gakpo,nl NED,FW,25.0,35.0,23,1935.0,21.5,10.0,4.0,14.0,10.0,0.0,0.0,5.0,0.0,7.1,7.1,4.4,11.5,59.0,52.0,278.0,0.47,0.19,0.65,0.47,0.65,0.33,0.2,0.53,0.33,0.53,Matches,Liverpool,822bd0ba,
Curtis Jones,eng ENG,"MF,DF",23.0,33.0,19,1712.0,19.0,3.0,3.0,6.0,3.0,0.0,0.0,3.0,1.0,4.3,4.3,1.1,5.4,30.0,117.0,79.0,0.16,0.16,0.32,0.16,0.32,0.23,0.06,0.29,0.23,0.29,Matches,Liverpool,822bd0ba,
Diogo Jota,pt POR,FW,27.0,26.0,14,1196.0,13.3,6.0,3.0,9.0,6.0,0.0,0.0,2.0,0.0,7.9,7.9,1.8,9.8,37.0,34.0,88.0,0.45,0.23,0.68,0.45,0.68,0.6,0.14,0.74,0.6,0.74,Matches,Liverpool,822bd0ba,
Caoimhín Kelleher,ie IRL,GK,25.0,10.0,10,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Liverpool,822bd0ba,
Kostas Tsimikas,gr GRE,DF,28.0,18.0,9,837.0,9.3,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,2.1,2.5,17.0,76.0,43.0,0.0,0.11,0.11,0.0,0.11,0.04,0.23,0.27,0.04,0.27,Matches,Liverpool,822bd0ba,
Darwin Núñez,uy URU,FW,25.0,30.0,8,1133.0,12.6,5.0,2.0,7.0,5.0,0.0,0.0,8.0,0.0,5.8,5.8,1.3,7.1,23.0,27.0,78.0,0.4,0.16,0.56,0.4,0.56,0.46,0.1,0.57,0.46,0.57,Matches,Liverpool,822bd0ba,
Conor Bradley,nir NIR,DF,21.0,19.0,7,754.0,8.4,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.7,0.7,1.4,2.1,35.0,33.0,39.0,0.0,0.24,0.24,0.0,0.24,0.08,0.17,0.25,0.08,0.25,Matches,Liverpool,822bd0ba,
Joe Gomez,eng ENG,DF,27.0,9.0,6,519.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.4,5.0,35.0,2.0,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08,Matches,Liverpool,822bd0ba,
Jarell Quansah,eng ENG,DF,21.0,13.0,4,495.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.1,0.2,3.0,19.0,4.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches,Liverpool,822bd0ba,
Harvey Elliott,eng ENG,MF,21.0,18.0,2,371.0,4.1,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,1.8,1.8,1.1,2.8,10.0,44.0,30.0,0.24,0.49,0.73,0.24,0.73,0.43,0.26,0.69,0.43,0.69,Matches,Liverpool,822bd0ba,
Wataru Endo,jp JPN,"MF,DF",31.0,20.0,1,273.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,19.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,Liverpool,822bd0ba,
Federico Chiesa,it ITA,FW,26.0,6.0,1,108.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.5,3.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.28,0.15,0.43,0.28,0.43,Matches,Liverpool,822bd0ba,
Vitezslav Jaros,cz CZE,GK,23.0,1.0,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Liverpool,822bd0ba,
Jayden Danns,eng ENG,MF,18.0,1.0,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Liverpool,822bd0ba,
Harvey Davies,eng ENG,GK,20.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Liverpool,822bd0ba,
James McConnell,eng ENG,MF,19.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Liverpool,822bd0ba,
Tyler Morton,eng ENG,MF,21.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Liverpool,822bd0ba,
Amara Nallo,eng ENG,DF,17.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Liverpool,822bd0ba,
Trey Nyoni,eng ENG,MF,17.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Liverpool,822bd0ba,
Squad Total,nan,nan,27.2,38.0,418,3420.0,38.0,85.0,65.0,150.0,76.0,9.0,9.0,67.0,3.0,82.2,75.2,61.6,136.8,826.0,1924.0,1910.0,2.24,1.71,3.95,2.0,3.71,2.16,1.62,3.78,1.98,3.6,nan,Liverpool,822bd0ba,
Opponent Total,nan,nan,26.1,38.0,418,3420.0,38.0,39.0,28.0,67.0,38.0,1.0,2.0,84.0,2.0,38.6,36.9,29.4,66.2,683.0,1091.0,1074.0,1.03,0.74,1.76,1.0,1.74,1.02,0.77,1.79,0.97,1.74,nan,Liverpool,822bd0ba,
David Raya,es ESP,GK,28.0,38.0,38,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal,18bb7c10,
William Saliba,fr FRA,DF,23.0,35.0,35,3039.0,33.8,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,2.3,2.3,0.9,3.1,16.0,138.0,6.0,0.06,0.0,0.06,0.06,0.06,0.07,0.03,0.09,0.07,0.09,Matches,Arsenal,18bb7c10,
Declan Rice,eng ENG,MF,25.0,35.0,33,2825.0,31.4,4.0,7.0,11.0,4.0,0.0,0.0,7.0,1.0,3.5,3.5,6.6,10.1,90.0,192.0,94.0,0.13,0.22,0.35,0.13,0.35,0.11,0.21,0.32,0.11,0.32,Matches,Arsenal,18bb7c10,
Thomas Partey,gh GHA,"MF,DF",31.0,35.0,31,2797.0,31.1,4.0,2.0,6.0,4.0,0.0,0.0,4.0,0.0,2.3,2.3,2.1,4.3,36.0,185.0,48.0,0.13,0.06,0.19,0.13,0.19,0.07,0.07,0.14,0.07,0.14,Matches,Arsenal,18bb7c10,
Leandro Trossard,be BEL,FW,29.0,38.0,28,2546.0,28.3,8.0,7.0,15.0,8.0,0.0,0.0,4.0,1.0,7.2,7.2,6.1,13.3,80.0,101.0,226.0,0.28,0.25,0.53,0.28,0.53,0.25,0.22,0.47,0.25,0.47,Matches,Arsenal,18bb7c10,
Gabriel Magalhães,br BRA,DF,26.0,28.0,28,2363.0,26.3,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,2.6,2.6,0.9,3.5,10.0,126.0,11.0,0.11,0.04,0.15,0.11,0.15,0.1,0.03,0.13,0.1,0.13,Matches,Arsenal,18bb7c10,
Jurriën Timber,nl NED,DF,23.0,30.0,27,2417.0,26.9,1.0,3.0,4.0,1.0,0.0,0.0,7.0,0.0,1.2,1.2,0.8,2.1,57.0,146.0,104.0,0.04,0.11,0.15,0.04,0.15,0.05,0.03,0.08,0.05,0.08,Matches,Arsenal,18bb7c10,
Martin Ødegaard,no NOR,MF,25.0,30.0,26,2325.0,25.8,3.0,8.0,11.0,2.0,1.0,1.0,4.0,0.0,4.8,4.0,5.4,9.5,92.0,258.0,154.0,0.12,0.31,0.43,0.08,0.39,0.19,0.21,0.4,0.16,0.37,Matches,Arsenal,18bb7c10,
Gabriel Martinelli,br BRA,"FW,MF",23.0,33.0,25,2290.0,25.4,8.0,4.0,12.0,8.0,0.0,0.0,1.0,0.0,7.4,7.4,5.0,12.4,124.0,52.0,289.0,0.31,0.16,0.47,0.31,0.47,0.29,0.19,0.49,0.29,0.49,Matches,Arsenal,18bb7c10,
Kai Havertz,de GER,"FW,MF",25.0,23.0,21,1875.0,20.8,9.0,3.0,12.0,9.0,0.0,0.0,5.0,0.0,9.5,9.5,2.4,12.0,35.0,61.0,113.0,0.43,0.14,0.58,0.43,0.58,0.46,0.12,0.57,0.46,0.57,Matches,Arsenal,18bb7c10,
Bukayo Saka,eng ENG,"FW,MF",22.0,25.0,20,1729.0,19.2,6.0,10.0,16.0,5.0,1.0,1.0,3.0,0.0,6.8,6.0,7.6,13.7,96.0,70.0,255.0,0.31,0.52,0.83,0.26,0.78,0.36,0.4,0.75,0.31,0.71,Matches,Arsenal,18bb7c10,
Mikel Merino,es ESP,"MF,FW",28.0,28.0,17,1586.0,17.6,7.0,2.0,9.0,7.0,0.0,0.0,4.0,1.0,5.9,5.9,2.0,7.9,11.0,69.0,94.0,0.4,0.11,0.51,0.4,0.51,0.34,0.11,0.45,0.34,0.45,Matches,Arsenal,18bb7c10,
Myles Lewis-Skelly,eng ENG,DF,17.0,23.0,15,1369.0,15.2,1.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,0.2,0.2,0.4,0.6,37.0,71.0,37.0,0.07,0.0,0.07,0.07,0.07,0.01,0.03,0.04,0.01,0.04,Matches,Arsenal,18bb7c10,
Ben White,eng ENG,DF,26.0,17.0,13,1198.0,13.3,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,1.4,1.8,23.0,59.0,42.0,0.0,0.15,0.15,0.0,0.15,0.03,0.1,0.14,0.03,0.14,Matches,Arsenal,18bb7c10,
Riccardo Calafiori,it ITA,DF,22.0,19.0,11,983.0,10.9,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,0.9,0.9,0.3,1.1,22.0,54.0,29.0,0.18,0.09,0.27,0.18,0.27,0.08,0.03,0.11,0.08,0.11,Matches,Arsenal,18bb7c10,
Ethan Nwaneri,eng ENG,"FW,MF",17.0,26.0,11,895.0,9.9,4.0,2.0,6.0,4.0,0.0,0.0,1.0,0.0,1.2,1.2,1.2,2.4,46.0,33.0,113.0,0.4,0.2,0.6,0.4,0.6,0.12,0.12,0.24,0.12,0.24,Matches,Arsenal,18bb7c10,
Jakub Kiwior,pl POL,DF,24.0,17.0,10,1122.0,12.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2,0.2,0.3,0.5,5.0,48.0,1.0,0.08,0.0,0.08,0.08,0.08,0.01,0.03,0.04,0.01,0.04,Matches,Arsenal,18bb7c10,
Jorginho,it ITA,MF,32.0,15.0,9,704.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.1,0.1,0.4,0.5,12.0,48.0,6.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06,Matches,Arsenal,18bb7c10,
Raheem Sterling,eng ENG,"FW,MF",29.0,17.0,7,499.0,5.5,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.4,1.4,0.5,1.9,27.0,18.0,79.0,0.0,0.36,0.36,0.0,0.36,0.26,0.09,0.34,0.26,0.34,Matches,Arsenal,18bb7c10,
Gabriel Jesus,br BRA,FW,27.0,17.0,6,608.0,6.8,3.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,3.0,3.0,0.7,3.7,15.0,19.0,57.0,0.44,0.0,0.44,0.44,0.44,0.44,0.1,0.54,0.44,0.54,Matches,Arsenal,18bb7c10,
Oleksandr Zinchenko,ua UKR,"DF,MF",27.0,15.0,5,527.0,5.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.2,0.8,10.0,48.0,14.0,0.0,0.17,0.17,0.0,0.17,0.11,0.03,0.14,0.11,0.14,Matches,Arsenal,18bb7c10,
Kieran Tierney,sct SCO,"DF,FW",27.0,13.0,2,259.0,2.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,1.4,1.7,8.0,15.0,29.0,0.35,0.0,0.35,0.35,0.35,0.12,0.48,0.6,0.12,0.6,Matches,Arsenal,18bb7c10,
Nathan Butler-Oyedeji,eng ENG,FW,21.0,1.0,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.94,0.94,0.94,Matches,Arsenal,18bb7c10,
Takehiro Tomiyasu,jp JPN,DF,25.0,1.0,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37,0.0,2.37,2.37,2.37,Matches,Arsenal,18bb7c10,
Reiss Nelson,eng ENG,FW,24.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal,18bb7c10,
Brayden Clarke,wls WAL,DF,17.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,18bb7c10,
Jimi Gower,eng ENG,MF,19.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,18bb7c10,
Ayden Heaven,eng ENG,DF,17.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,18bb7c10,
Jack Henry-Francis,ie IRL,MF,20.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,18bb7c10,
Ismeal Kabia,eng ENG,MF,18.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,18bb7c10,
Maldini Kacurri,al ALB,DF,18.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,18bb7c10,
Neto,br BRA,GK,35.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,18bb7c10,
Josh Nichols,eng ENG,DF,18.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,18bb7c10,
Eddie Nketiah,eng ENG,FW,25.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,18bb7c10,
Salah Oulad M'Hand,nl NED,MF,20.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,18bb7c10,
Jack Porter,eng ENG,GK,16.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,18bb7c10,
Aaron Ramsdale,eng ENG,GK,26.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,18bb7c10,
Tommy Setford,eng ENG,GK,18.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,18bb7c10,
Squad Total,nan,nan,25.8,38.0,418,3420.0,38.0,67.0,55.0,122.0,65.0,2.0,2.0,70.0,6.0,59.9,58.4,45.3,103.6,852.0,1826.0,1801.0,1.76,1.45,3.21,1.71,3.16,1.58,1.19,2.77,1.54,2.73,nan,Arsenal,18bb7c10,
Opponent Total,nan,nan,26.1,38.0,418,3420.0,38.0,34.0,24.0,58.0,31.0,3.0,3.0,83.0,2.0,34.4,32.0,24.5,56.6,618.0,938.0,927.0,0.89,0.63,1.53,0.82,1.45,0.91,0.65,1.55,0.84,1.49,nan,Arsenal,18bb7c10,
Joško Gvardiol,hr CRO,DF,22.0,37.0,36,3277.0,36.4,5.0,0.0,5.0,5.0,0.0,0.0,2.0,0.0,4.6,4.3,2.1,6.3,91.0,264.0,121.0,0.14,0.0,0.14,0.14,0.14,0.13,0.06,0.18,0.12,0.17,Matches,Manchester City,b8fd03ef,
Erling Haaland,no NOR,FW,24.0,31.0,31,2736.0,30.4,22.0,3.0,25.0,19.0,3.0,4.0,2.0,0.0,22.0,18.8,3.0,21.8,24.0,20.0,124.0,0.72,0.1,0.82,0.62,0.72,0.72,0.1,0.82,0.62,0.72,Matches,Manchester City,b8fd03ef,
Bernardo Silva,pt POR,"MF,FW",29.0,33.0,29,2670.0,29.7,4.0,4.0,8.0,4.0,0.0,0.0,7.0,0.0,3.9,3.9,5.1,9.0,101.0,134.0,200.0,0.13,0.13,0.27,0.13,0.27,0.13,0.17,0.3,0.13,0.3,Matches,Manchester City,b8fd03ef,
Ederson,br BRA,GK,30.0,26.0,26,2320.0,25.8,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.5,1.5,0.0,2.0,0.0,0.0,0.16,0.16,0.0,0.16,0.0,0.06,0.06,0.0,0.06,Matches,Manchester City,b8fd03ef,
Rúben Dias,pt POR,DF,27.0,27.0,25,2271.0,25.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.5,1.5,0.3,1.8,43.0,160.0,8.0,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.07,0.06,0.07,Matches,Manchester City,b8fd03ef,
İlkay Gündoğan,de GER,MF,33.0,33.0,25,2223.0,24.7,1.0,6.0,7.0,1.0,0.0,0.0,1.0,0.0,3.2,3.2,3.5,6.7,64.0,127.0,96.0,0.04,0.24,0.28,0.04,0.28,0.13,0.14,0.27,0.13,0.27,Matches,Manchester City,b8fd03ef,
Mateo Kovačić,hr CRO,MF,30.0,31.0,25,2198.0,24.4,6.0,2.0,8.0,6.0,0.0,0.0,5.0,1.0,1.9,1.9,3.6,5.5,56.0,164.0,16.0,0.25,0.08,0.33,0.25,0.33,0.08,0.15,0.23,0.08,0.23,Matches,Manchester City,b8fd03ef,
Manuel Akanji,ch SUI,DF,29.0,26.0,23,2014.0,22.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.6,1.6,0.4,1.9,46.0,158.0,7.0,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09,Matches,Manchester City,b8fd03ef,
Rico Lewis,eng ENG,"DF,MF",19.0,28.0,21,1893.0,21.0,1.0,2.0,3.0,1.0,0.0,0.0,5.0,1.0,1.4,1.4,0.3,1.7,39.0,107.0,78.0,0.05,0.1,0.14,0.05,0.14,0.07,0.02,0.08,0.07,0.08,Matches,Manchester City,b8fd03ef,
Sávio,br BRA,"FW,MF",20.0,29.0,21,1766.0,19.6,1.0,8.0,9.0,1.0,0.0,0.0,3.0,0.0,5.0,5.0,6.9,11.9,137.0,67.0,246.0,0.05,0.41,0.46,0.05,0.46,0.26,0.35,0.61,0.26,0.61,Matches,Manchester City,b8fd03ef,
Phil Foden,eng ENG,"MF,FW",24.0,28.0,20,1777.0,19.7,7.0,2.0,9.0,7.0,0.0,0.0,2.0,0.0,5.2,5.2,4.8,9.9,50.0,103.0,128.0,0.35,0.1,0.46,0.35,0.46,0.26,0.24,0.5,0.26,0.5,Matches,Manchester City,b8fd03ef,
Kevin De Bruyne,be BEL,"MF,FW",33.0,28.0,19,1702.0,18.9,4.0,7.0,11.0,4.0,0.0,0.0,2.0,0.0,5.1,5.1,8.0,13.1,51.0,157.0,150.0,0.21,0.37,0.58,0.21,0.58,0.27,0.42,0.69,0.27,0.69,Matches,Manchester City,b8fd03ef,
Matheus Nunes,pt POR,"DF,MF",25.0,26.0,19,1674.0,18.6,1.0,6.0,7.0,1.0,0.0,0.0,4.0,0.0,1.2,1.2,4.4,5.6,63.0,79.0,175.0,0.05,0.32,0.38,0.05,0.38,0.07,0.23,0.3,0.07,0.3,Matches,Manchester City,b8fd03ef,
Jeremy Doku,be BEL,"FW,MF",22.0,29.0,16,1516.0,16.8,3.0,6.0,9.0,3.0,0.0,0.0,1.0,0.0,1.3,1.3,4.8,6.1,213.0,69.0,286.0,0.18,0.36,0.53,0.18,0.53,0.08,0.29,0.36,0.08,0.36,Matches,Manchester City,b8fd03ef,
Omar Marmoush,eg EGY,"FW,MF",25.0,16.0,14,1175.0,13.1,7.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,5.5,5.5,2.8,8.3,29.0,37.0,78.0,0.54,0.0,0.54,0.54,0.54,0.42,0.21,0.64,0.42,0.64,Matches,Manchester City,b8fd03ef,
Stefan Ortega,de GER,GK,31.0,13.0,12,1100.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Manchester City,b8fd03ef,
Kyle Walker,eng ENG,DF,34.0,15.0,9,970.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.4,0.6,12.0,64.0,11.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,Matches,Manchester City,b8fd03ef,
Nicolás González,es ESP,MF,22.0,11.0,9,760.0,8.4,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.5,0.5,0.1,0.5,9.0,50.0,11.0,0.12,0.0,0.12,0.12,0.12,0.06,0.01,0.06,0.06,0.06,Matches,Manchester City,b8fd03ef,
Nathan Aké,nl NED,DF,29.0,10.0,8,678.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,12.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,Manchester City,b8fd03ef,
Jack Grealish,eng ENG,"FW,MF",28.0,20.0,7,721.0,8.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,1.1,1.1,1.8,3.0,69.0,52.0,118.0,0.12,0.12,0.25,0.12,0.25,0.14,0.23,0.37,0.14,0.37,Matches,Manchester City,b8fd03ef,
John Stones,eng ENG,"DF,MF",30.0,11.0,6,548.0,6.1,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.4,0.4,0.1,0.5,10.0,21.0,2.0,0.33,0.0,0.33,0.33,0.33,0.07,0.01,0.08,0.07,0.08,Matches,Manchester City,b8fd03ef,
Nico O’Reilly,eng ENG,DF,19.0,9.0,6,528.0,5.9,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.3,1.3,0.4,1.6,16.0,17.0,26.0,0.34,0.0,0.34,0.34,0.34,0.22,0.06,0.28,0.22,0.28,Matches,Manchester City,b8fd03ef,
Abdukodir Khusanov,uz UZB,DF,20.0,6.0,6,503.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,1.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,Manchester City,b8fd03ef,
James Mcatee,eng ENG,"MF,FW",21.0,15.0,3,349.0,3.9,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,2.8,2.8,0.5,3.3,7.0,7.0,32.0,0.77,0.0,0.77,0.77,0.77,0.72,0.13,0.85,0.72,0.85,Matches,Manchester City,b8fd03ef,
Jahmai Simpson-Pusey,eng ENG,DF,18.0,2.0,1,96.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Manchester City,b8fd03ef,
